Add:         0210083 Bypass Coronary Artery, One Artery from Coronary Artery with Zooplastic Tissue, Open Approach
Add:         04C04Z6 Extirpation of Matter from Abdominal Aorta, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C10Z6 Extirpation of Matter from Celiac Artery, Bifurcation, Open Approach
Add:         04C13Z6 Extirpation of Matter from Celiac Artery, Bifurcation, Percutaneous Approach
Add:         04C14Z6 Extirpation of Matter from Celiac Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C20Z6 Extirpation of Matter from Gastric Artery, Bifurcation, Open Approach
Add:         04C23Z6 Extirpation of Matter from Gastric Artery, Bifurcation, Percutaneous Approach
Add:         04C24Z6 Extirpation of Matter from Gastric Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C30Z6 Extirpation of Matter from Hepatic Artery, Bifurcation, Open Approach
Add:         04C33Z6 Extirpation of Matter from Hepatic Artery, Bifurcation, Percutaneous Approach
Add:         04C34Z6 Extirpation of Matter from Hepatic Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C40Z6 Extirpation of Matter from Splenic Artery, Bifurcation, Open Approach
Add:         04C43Z6 Extirpation of Matter from Splenic Artery, Bifurcation, Percutaneous Approach
Add:         04C44Z6 Extirpation of Matter from Splenic Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C50Z6 Extirpation of Matter from Superior Mesenteric Artery, Bifurcation, Open Approach
Add:         04C53Z6 Extirpation of Matter from Superior Mesenteric Artery, Bifurcation, Percutaneous Approach
Add:         04C54Z6 Extirpation of Matter from Superior Mesenteric Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C60Z6 Extirpation of Matter from Right Colic Artery, Bifurcation, Open Approach
Add:         04C63Z6 Extirpation of Matter from Right Colic Artery, Bifurcation, Percutaneous Approach
Add:         04C64Z6 Extirpation of Matter from Right Colic Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C70Z6 Extirpation of Matter from Left Colic Artery, Bifurcation, Open Approach
Add:         04C73Z6 Extirpation of Matter from Left Colic Artery, Bifurcation, Percutaneous Approach
Add:         04C74Z6 Extirpation of Matter from Left Colic Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C80Z6 Extirpation of Matter from Middle Colic Artery, Bifurcation, Open Approach
Add:         04C83Z6 Extirpation of Matter from Middle Colic Artery, Bifurcation, Percutaneous Approach
Add:         04C84Z6 Extirpation of Matter from Middle Colic Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04C90Z6 Extirpation of Matter from Right Renal Artery, Bifurcation, Open Approach
Add:         04C93Z6 Extirpation of Matter from Right Renal Artery, Bifurcation, Percutaneous Approach
Add:         04C94Z6 Extirpation of Matter from Right Renal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CA0Z6 Extirpation of Matter from Left Renal Artery, Bifurcation, Open Approach
Add:         04CA3Z6 Extirpation of Matter from Left Renal Artery, Bifurcation, Percutaneous Approach
Add:         04CA4Z6 Extirpation of Matter from Left Renal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CB0Z6 Extirpation of Matter from Inferior Mesenteric Artery, Bifurcation, Open Approach
Add:         04CB3Z6 Extirpation of Matter from Inferior Mesenteric Artery, Bifurcation, Percutaneous Approach
Add:         04CB4Z6 Extirpation of Matter from Inferior Mesenteric Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CC0Z6 Extirpation of Matter from Right Common Iliac Artery, Bifurcation, Open Approach
Add:         04CC3Z6 Extirpation of Matter from Right Common Iliac Artery, Bifurcation, Percutaneous Approach
Add:         04CC4Z6 Extirpation of Matter from Right Common Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CD0Z6 Extirpation of Matter from Left Common Iliac Artery, Bifurcation, Open Approach
Add:         04CD3Z6 Extirpation of Matter from Left Common Iliac Artery, Bifurcation, Percutaneous Approach
Add:         04CD4Z6 Extirpation of Matter from Left Common Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CE0Z6 Extirpation of Matter from Right Internal Iliac Artery, Bifurcation, Open Approach
Add:         04CE3Z6 Extirpation of Matter from Right Internal Iliac Artery, Bifurcation, Percutaneous Approach
Add:         04CE4Z6 Extirpation of Matter from Right Internal Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CF0Z6 Extirpation of Matter from Left Internal Iliac Artery, Bifurcation, Open Approach
Add:         04CF3Z6 Extirpation of Matter from Left Internal Iliac Artery, Bifurcation, Percutaneous Approach
Add:         04CF4Z6 Extirpation of Matter from Left Internal Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CH0Z6 Extirpation of Matter from Right External Iliac Artery, Bifurcation, Open Approach
Add:         04CH3Z6 Extirpation of Matter from Right External Iliac Artery, Bifurcation, Percutaneous Approach
Add:         04CH4Z6 Extirpation of Matter from Right External Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CJ0Z6 Extirpation of Matter from Left External Iliac Artery, Bifurcation, Open Approach
Add:         04CJ3Z6 Extirpation of Matter from Left External Iliac Artery, Bifurcation, Percutaneous Approach
Add:         04CJ4Z6 Extirpation of Matter from Left External Iliac Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CK0Z6 Extirpation of Matter from Right Femoral Artery, Bifurcation, Open Approach
Add:         04CK3Z6 Extirpation of Matter from Right Femoral Artery, Bifurcation, Percutaneous Approach
Add:         04CK4Z6 Extirpation of Matter from Right Femoral Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CL0Z6 Extirpation of Matter from Left Femoral Artery, Bifurcation, Open Approach
Add:         04CL3Z6 Extirpation of Matter from Left Femoral Artery, Bifurcation, Percutaneous Approach
Add:         04CL4Z6 Extirpation of Matter from Left Femoral Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CM0Z6 Extirpation of Matter from Right Popliteal Artery, Bifurcation, Open Approach
Add:         04CM3Z6 Extirpation of Matter from Right Popliteal Artery, Bifurcation, Percutaneous Approach
Add:         04CM4Z6 Extirpation of Matter from Right Popliteal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CN0Z6 Extirpation of Matter from Left Popliteal Artery, Bifurcation, Open Approach
Add:         04CN3Z6 Extirpation of Matter from Left Popliteal Artery, Bifurcation, Percutaneous Approach
Add:         04CN4Z6 Extirpation of Matter from Left Popliteal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CP0Z6 Extirpation of Matter from Right Anterior Tibial Artery, Bifurcation, Open Approach
Add:         04CP3Z6 Extirpation of Matter from Right Anterior Tibial Artery, Bifurcation, Percutaneous Approach
Add:         04CP4Z6 Extirpation of Matter from Right Anterior Tibial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CQ0Z6 Extirpation of Matter from Left Anterior Tibial Artery, Bifurcation, Open Approach
Add:         04CQ3Z6 Extirpation of Matter from Left Anterior Tibial Artery, Bifurcation, Percutaneous Approach
Add:         04CQ4Z6 Extirpation of Matter from Left Anterior Tibial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CR0Z6 Extirpation of Matter from Right Posterior Tibial Artery, Bifurcation, Open Approach
Add:         04CR3Z6 Extirpation of Matter from Right Posterior Tibial Artery, Bifurcation, Percutaneous Approach
Add:         04CR4Z6 Extirpation of Matter from Right Posterior Tibial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CS0Z6 Extirpation of Matter from Left Posterior Tibial Artery, Bifurcation, Open Approach
Add:         04CS3Z6 Extirpation of Matter from Left Posterior Tibial Artery, Bifurcation, Percutaneous Approach
Add:         04CS4Z6 Extirpation of Matter from Left Posterior Tibial Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CT0Z6 Extirpation of Matter from Right Peroneal Artery, Bifurcation, Open Approach
Add:         04CT3Z6 Extirpation of Matter from Right Peroneal Artery, Bifurcation, Percutaneous Approach
Add:         04CT4Z6 Extirpation of Matter from Right Peroneal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CU0Z6 Extirpation of Matter from Left Peroneal Artery, Bifurcation, Open Approach
Add:         04CU3Z6 Extirpation of Matter from Left Peroneal Artery, Bifurcation, Percutaneous Approach
Add:         04CU4Z6 Extirpation of Matter from Left Peroneal Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CV0Z6 Extirpation of Matter from Right Foot Artery, Bifurcation, Open Approach
Add:         04CV3Z6 Extirpation of Matter from Right Foot Artery, Bifurcation, Percutaneous Approach
Add:         04CV4Z6 Extirpation of Matter from Right Foot Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CW0Z6 Extirpation of Matter from Left Foot Artery, Bifurcation, Open Approach
Add:         04CW3Z6 Extirpation of Matter from Left Foot Artery, Bifurcation, Percutaneous Approach
Add:         04CW4Z6 Extirpation of Matter from Left Foot Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04CY0Z6 Extirpation of Matter from Lower Artery, Bifurcation, Open Approach
Add:         04CY3Z6 Extirpation of Matter from Lower Artery, Bifurcation, Percutaneous Approach
Add:         04CY4Z6 Extirpation of Matter from Lower Artery, Bifurcation, Percutaneous Endoscopic Approach
Add:         04V00C6 Restriction of Abdominal Aorta, Bifurcation, with Extraluminal Device, Open Approach
Add:         04V00D6 Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Open Approach
Add:         04V00E6 Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach
Add:         04V00EZ Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach
Add:         04V00F6 Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Open Approach
Add:         04V00FZ Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Open Approach
Add:         04V00Z6 Restriction of Abdominal Aorta, Bifurcation, Open Approach
Add:         04V03C6 Restriction of Abdominal Aorta, Bifurcation, with Extraluminal Device, Percutaneous Approach
Add:         04V03D6 Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Approach
Add:         04V03E6 Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach
Add:         04V03EZ Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach
Add:         04V03F6 Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach
Add:         04V03FZ Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach
Add:         04V03Z6 Restriction of Abdominal Aorta, Bifurcation, Percutaneous Approach
Add:         04V04C6 Restriction of Abdominal Aorta, Bifurcation, with Extraluminal Device, Percutaneous Endoscopic Approach
Add:         04V04D6 Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach
Add:         04V04E6 Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach
Add:         04V04EZ Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach
Add:         04V04F6 Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach
Add:         04V04FZ Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach
Add:         04V04Z6 Restriction of Abdominal Aorta, Bifurcation, Percutaneous Endoscopic Approach
Add:         04VC0EZ Restriction of Right Common Iliac Artery with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach
Add:         04VC0FZ Restriction of Right Common Iliac Artery with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Open Approach
Add:         04VC3EZ Restriction of Right Common Iliac Artery with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach
Add:         04VC3FZ Restriction of Right Common Iliac Artery with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach
Add:         04VC4EZ Restriction of Right Common Iliac Artery with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach
Add:         04VC4FZ Restriction of Right Common Iliac Artery with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach
Add:         04VD0EZ Restriction of Left Common Iliac Artery with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach
Add:         04VD0FZ Restriction of Left Common Iliac Artery with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Open Approach
Add:         04VD3EZ Restriction of Left Common Iliac Artery with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach
Add:         04VD3FZ Restriction of Left Common Iliac Artery with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach
